"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"H7QC456P","journalArticle","2014","Paletou, F.; Zolotukhin, I.","Using Virtual Observatory with Python: querying remote astronomical databases","ArXiv e-prints","","","","http://adsabs.harvard.edu/abs/2014arXiv1408.7026P","This tutorial is devoted to extending an existing catalogue with data taken elsewhere, either from CDS Vizier or Simbad database. As an example, we used the so-called 'Spectroscopic Survey of Stars in the Solar Neighborhood' (aka. S4N, Allende Prieto et al. 2004) in order to retrieve all objects with available data for the set of fundamental stellar parameters effective temperature, surface gravity and metallicity. Then for each object in this dataset we query Simbad database to retrieve the projected rotational velocity. This combines Vizier and Simbad queries made using Python astroquery module. The tutorial covers remote database access, filtering tables with arbitrary criteria, creating and writing your own tables, and basics of plotting in Python.","2014-08-01","2014-09-01 12:10:18","2014-09-01 12:10:18","2014-09-01 12:10:18","7026","","","1408","","ArXiv e-prints","Using Virtual Observatory with Python","","","","","","","","","","","","NASA ADS","","","","/home/gabriel/Dropbox/apps_sync/Zot/2014/Paletou y Zolotukhin - 2014 - Using Virtual Observatory with Python.pdf","","","Astrophysics - Solar and Stellar Astrophysics; Astrophysics - Instrumentation and Methods for Astrophysics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZKFK9DJ5","journalArticle","2012","Da Rio, Nicola; Robberto, Massimo","TA-DA: A Tool for Astrophysical Data Analysis","The Astronomical Journal","","0004-6256","10.1088/0004-6256/144/6/176","http://adsabs.harvard.edu/abs/2012AJ....144..176D","We present the Tool for Astrophysical Data Analysis (TA-DA), a new software aimed to greatly simplify and improve the analysis of stellar photometric data in comparison with theoretical models, and allow the derivation of stellar parameters from multi-band photometry. Its flexibility allows one to address a number of such problems: from the interpolation of stellar models, or sets of stellar physical parameters in general, to the computation of synthetic photometry in arbitrary filters or units; from the analysis of observed color-magnitude diagrams to a Bayesian derivation of stellar parameters (and extinction) based on multi-band data. TA-DA is available as a pre-compiled Interactive Data Language widget-based application; its graphical user interface makes it considerably user-friendly. In this paper, we describe the software and its functionalities.","2012-12-01","2014-05-27 18:32:07","2014-05-27 18:32:07","2014-05-27 18:32:07","176","","","144","","The Astronomical Journal","TA-DA","","","","","","","","","","","","NASA ADS","","","","/home/gabriel/Dropbox/apps_sync/Zot/2012/Da Rio y Robberto - 2012 - TA-DA.pdf","","","methods: data analysis; techniques: photometric; Hertzsprung-Russell and C-M diagrams; stars: fundamental parameters","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5XIXH3AF","journalArticle","2012","Benson, Andrew J.","GALACTICUS: A semi-analytic model of galaxy formation","New Astronomy","","1384-1076","10.1016/j.newast.2011.07.004","http://adsabs.harvard.edu/abs/2012NewA...17..175B","We describe a new, free and open source semi-analytic model of galaxy formation, G ALACTICUS. The G ALACTICUS model was designed to be highly modular to facilitate expansion and the exploration of alternative descriptions of key physical ingredients. We detail the G ALACTICUS engine for evolving galaxies through a merging hierarchy of dark matter halos and give details of the specific implementations of physics currently available in G ALACTICUS. Finally, we show results from an example model that is in reasonably good agreement with several observational datasets. We use this model to explore numerical convergence and to demonstrate the types of information which can be extracted from G ALACTICUS.","2012-02-01","2014-10-05 02:34:36","2015-06-19 20:28:48","2014-10-05 02:34:36","175-197","","","17","","New Astronomy","G ALACTICUS","","","","","","","","","","","","NASA ADS","","","","/home/gabriel/Dropbox/apps_sync/Zot/2012/Benson - 2012 - GALACTICUS.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PWRAG6FA","journalArticle","2001","Freitag, M.; Benz, W.","A new Monte Carlo code for star cluster simulations. I. Relaxation","Astronomy and Astrophysics","","0004-6361","10.1051/0004-6361:20010706","http://adsabs.harvard.edu/abs/2001A%26A...375..711F","We have developed a new simulation code aimed at studying the stellar dynamics of a galactic central star cluster surrounding a massive black hole. In order to include all the relevant physical ingredients (2-body relaxation, stellar mass spectrum, collisions, tidal disruption, \ldots), we chose to revive a numerical scheme pioneered by Hénon in the 70's (Hénon \cite{Henon71a},a; Hénon \cite{Henon73}. It is basically a Monte Carlo resolution of the Fokker-Planck equation. It can cope with any stellar mass spectrum or velocity distribution. Being a particle-based method, it also allows one to take stellar collisions into account in a very realistic way. This first paper covers the basic version of our code which treats the relaxation-driven evolution of a stellar cluster without a central BH. A technical description of the code is presented, as well as the results of test computations. Thanks to the use of a binary tree to store potential and rank information and of variable time steps, cluster models with up to 2*E6 particles can be simulated on a standard personal computer and the CPU time required scales as Np ln (Np) with the particle number Np. Furthermore, the number of simulated stars needs not be equal to Np but can be arbitrarily larger. A companion paper will treat further physical elements, mostly relevant to galactic nuclei.","2001-08-01","2015-06-08 19:12:20","2015-06-08 19:12:20","2015-06-08 19:12:20","711-738","","","375","","Astronomy and Astrophysics","","","","","","","","","","","","","NASA ADS","","","","/home/gabriel/Dropbox/apps_sync/Zot/2001/Freitag y Benz - 2001 - A new Monte Carlo code for star cluster simulations.pdf","","","galaxies: star clusters; methods: numerical; GALAXIES: NUCLEI; stellar dynamics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QNGZNI86","journalArticle","1999","Leitherer, Claus; Schaerer, Daniel; Goldader, Jeffrey D.; Delgado, Rosa M. González; Robert, Carmelle; Kune, Denis Foo; de Mello, Duília F.; Devost, Daniel; Heckman, Timothy M.","Starburst99: Synthesis Models for Galaxies with Active Star Formation","The Astrophysical Journal Supplement Series","","0067-0049","10.1086/313233","http://adsabs.harvard.edu/abs/1999ApJS..123....3L","Starburst99 is a comprehensive set of model predictions for spectrophotometric and related properties of galaxies with active star formation. The models are an improved and extended version of the data set previously published by Leitherer & Heckman. We have upgraded our code by implementing the latest set of stellar evolution models of the Geneva group and the model atmosphere grid compiled by Lejeune et al. Several predictions which were not included in the previous publication are shown here for the first time. The models are presented in a homogeneous way for five metallicities between Z=0.040 and 0.001 and three choices of the initial mass function. The age coverage is 106-109 yr. We also show the spectral energy distributions which are used to compute colors and other quantities. The full data set is available for retrieval at a Web site, which allows users to run specific models with nonstandard parameters as well. We also make the source code available to the community.","1999-07-01","2015-05-05 20:23:01","2015-05-05 20:23:01","2015-05-05 20:23:01","3-40","","","123","","The Astrophysical Journal Supplement Series","Starburst99","","","","","","","","","","","","NASA ADS","","","","/home/gabriel/Dropbox/apps_sync/Zot/1999/Leitherer et al. - 1999 - Starburst99.pdf","","","galaxies: evolution; Galaxies: Stellar Content; methods: numerical; galaxies: fundamental parameters; galaxies: starburst","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UMXHB2WT","journalArticle","2015","Jenness, Tim; Economou, Frossie","ORAC-DR: A generic data reduction pipeline infrastructure","Astronomy and Computing","","2213-1337","10.1016/j.ascom.2014.10.005","http://www.sciencedirect.com/science/article/pii/S2213133714000614","ORAC-DR is a general purpose data reduction pipeline system designed to be instrument and observatory agnostic. The pipeline works with instruments as varied as infrared integral field units, imaging arrays and spectrographs, and sub-millimeter heterodyne arrays and continuum cameras. This paper describes the architecture of the pipeline system and the implementation of the core infrastructure. We finish by discussing the lessons learned since the initial deployment of the pipeline system in the late 1990s.","2015-03","2015-03-20 19:02:38","2015-03-20 20:24:33","2015-03-20 19:02:38","40-48","","","9","","Astronomy and Computing","ORAC-DR","","","","","","","","","","","","ScienceDirect","","","","/home/gabriel/Dropbox/apps_sync/Zot/2015/Jenness y Economou - 2015 - ORAC-DR.pdf","","","methods: data analysis; Data reduction pipelines; Techniques: miscellaneous","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UFKHI7M7","journalArticle","2013","Singh, Navtej; Browne, Lisa-Marie; Butler, Ray","Parallel astronomical data processing with Python: Recipes for multicore machines","Astronomy and Computing","","2213-1337","10.1016/j.ascom.2013.04.002","http://www.sciencedirect.com/science/article/pii/S2213133713000085","High performance computing has been used in various fields of astrophysical research. But most of it is implemented on massively parallel systems (supercomputers) or graphical processing unit clusters. With the advent of multicore processors in the last decade, many serial software codes have been re-implemented in parallel mode to utilize the full potential of these processors. In this paper, we propose parallel processing recipes for multicore machines for astronomical data processing. The target audience is astronomers who use Python as their preferred scripting language and who may be using PyRAF/IRAF for data processing. Three problems of varied complexity were benchmarked on three different types of multicore processors to demonstrate the benefits, in terms of execution time, of parallelizing data processing tasks. The native multiprocessing module available in Python makes it a relatively trivial task to implement the parallel code. We have also compared the three multiprocessing approaches—Pool/Map, Process/Queue and Parallel Python. Our test codes are freely available and can be downloaded from our website.","2013-08","2015-03-20 19:03:10","2015-03-20 20:24:33","2015-03-20 19:03:10","1-10","","","2","","Astronomy and Computing","Parallel astronomical data processing with Python","","","","","","","","","","","","ScienceDirect","","","","/home/gabriel/Dropbox/apps_sync/Zot/2013/Singh et al. - 2013 - Parallel astronomical data processing with Python.pdf","","","Astronomical data processing; Deconvolution; Multicore programming; Parallel computing; Parallel Python; Python multiprocessing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5UNDCQ7A","journalArticle","2013","Burger, Dan; Stassun, Keivan G.; Pepper, Joshua; Siverd, Robert J.; Paegert, Martin; De Lee, Nathan M.; Robinson, William H.","Filtergraph: An interactive web application for visualization of astronomy datasets","Astronomy and Computing","","2213-1337","10.1016/j.ascom.2013.06.002","http://www.sciencedirect.com/science/article/pii/S2213133713000218","Filtergraph is a web application being developed and maintained by the Vanderbilt Initiative in Data-intensive Astrophysics (VIDA) to flexibly and rapidly visualize a large variety of astronomy datasets of various formats and sizes. The user loads a flat-file dataset into Filtergraph which automatically generates an interactive data portal that can be easily shared with others. From this portal, the user can immediately generate scatter plots of up to five dimensions as well as histograms and tables based on the dataset. Key features of the portal include intuitive controls with auto-completed variable names, the ability to filter the data in real time through user-specified criteria, the ability to select data by dragging on the screen, and the ability to perform arithmetic operations on the data in real time. To enable seamless data visualization and exploration, changes are quickly rendered on screen and visualizations can be exported as high quality graphics files. The application is optimized for speed in the context of large datasets: for instance, a plot generated from a stellar database of 3.1 million entries renders in less than 2 s on a standard web server platform. This web application has been created using the Web2py web framework based on the Python programming language. Filtergraph is free to use at http://filtergraph.vanderbilt.edu/.","2013-08","2015-03-20 19:00:47","2015-03-20 20:24:33","2015-03-20 19:00:47","40-45","","","2","","Astronomy and Computing","Filtergraph","","","","","","","","","","","","ScienceDirect","","","","/home/gabriel/Dropbox/apps_sync/Zot/2013/Burger et al. - 2013 - Filtergraph.pdf","","","catalogs; Astronomical databases; Statistical graphics; Visualization; Web interface; Web-based interaction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K28H23TW","journalArticle","2013","Friedel, D. N.","CADRE: The CArma Data REduction pipeline","Astronomy and Computing","","2213-1337","10.1016/j.ascom.2013.09.003","http://www.sciencedirect.com/science/article/pii/S2213133713000279","The Combined Array for Millimeter-wave Astronomy (CARMA) data reduction pipeline (CADRE) has been developed to give investigators a first look at a fully reduced set of their data. It runs automatically on all data produced by the telescope as they arrive in the CARMA data archive. CADRE is written in Python and uses Python wrappers for MIRIAD subroutines for direct access to the data. It goes through the typical reduction procedures for radio telescope array data and produces a set of continuum and spectral line maps in both MIRIAD and FITS format. CADRE has been in production for nearly two years and this paper presents the current capabilities and planned development.","2013-08","2015-03-20 19:01:02","2015-03-20 20:24:33","2015-03-20 19:01:02","74-79","","","2","","Astronomy and Computing","CADRE","","","","","","","","","","","","ScienceDirect","","","","/home/gabriel/Dropbox/apps_sync/Zot/2013/Friedel - 2013 - CADRE.pdf","","","Data reduction pipeline","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VM3MBTTE","journalArticle","2015","Akeret, J.; Gamper, L.; Amara, A.; Refregier, A.","HOPE: A Python just-in-time compiler for astrophysical computations","Astronomy and Computing","","2213-1337","10.1016/j.ascom.2014.12.001","http://www.sciencedirect.com/science/article/pii/S2213133714000687","The Python programming language is becoming increasingly popular for scientific applications due to its simplicity, versatility, and the broad range of its libraries. A drawback of this dynamic language, however, is its low runtime performance which limits its applicability for large simulations and for the analysis of large data sets, as is common in astrophysics and cosmology. While various frameworks have been developed to address this limitation, most focus on covering the complete language set, and either force the user to alter the code or are not able to reach the full speed of an optimised native compiled language. In order to combine the ease of Python and the speed of C++, we developed HOPE, a specialised Python just-in-time (JIT) compiler designed for numerical astrophysical applications. HOPE focuses on a subset of the language and is able to translate Python code into C++ while performing numerical optimisation on mathematical expressions at runtime. To enable the JIT compilation, the user only needs to add a decorator to the function definition. We assess the performance of HOPE by performing a series of benchmarks and compare its execution speed with that of plain Python, C++ and the other existing frameworks. We find that HOPE improves the performance compared to plain Python by a factor of 2 to 120, achieves speeds comparable to that of C++, and often exceeds the speed of the existing solutions. We discuss the differences between HOPE and the other frameworks, as well as future extensions of its capabilities. The fully documented HOPE package is available at http://hope.phys.ethz.ch and is published under the GPLv3 license on PyPI and GitHub.","2015-04","2015-03-20 19:02:54","2015-03-20 20:24:33","2015-03-20 19:02:54","1-8","","","10","","Astronomy and Computing","HOPE","","","","","","","","","","","","ScienceDirect","","","","/home/gabriel/Dropbox/apps_sync/Zot/2015/Akeret et al. - 2015 - HOPE.pdf","","","Benchmark; Just-in-time compiler; Python","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"838CHB7F","computerProgram","2015","Morton, Timothy; Walker, Simon","isochrones: BinaryStarModel added; triangle plots tweaked.","","DOI: 10.5281/zenodo.16304","","","http://zenodo.org/record/16304","","2015-03-24","2016-09-06 17:26:18","2016-09-27 14:18:47","2016-09-06 17:26:18","","","","","","","isochrones","","","","","","","","","","","","zenodo.org","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AFVDZG7Z","journalArticle","2016","Rosenfield, Phil","Interpolated PARSEC V1.2S Stellar Evolution Tracks: Source code and data set","Zenodo","","","10.5281/zenodo.48123","https://zenodo.org/record/48123","Source code has not changed since earlier releases, this release also has the tracks attached for DOI purposes.","2016-03","2016-09-15 02:52:48","2016-09-15 02:53:17","2016-09-15 02:52:48","","","","","","","Interpolated PARSEC V1.2S Stellar Evolution Tracks","","","","","","","","","","","","zenodo.org","","","","","","","Astrophysics; STELLAR EVOLUTION; stellar evolution models","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IZAMAU6R","journalArticle","2016","Baker, Monya","Why scientists must share their research code","Nature","","1476-4687","10.1038/nature.2016.20504","http://www.nature.com/doifinder/10.1038/nature.2016.20504","","2016-09-13","2016-09-14 12:12:45","2016-09-14 12:12:45","2016-09-14 12:12:45","","","","","","","","","","","","","","","","","","","CrossRef","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MJ97U4MF","webpage","2014","Balbinot, E.","GenCMD","GitHub","","","","https://github.com/balbinot/gencmd","Contribute to gencmd development by creating an account on GitHub.","2014-11","2016-09-09 13:49:30","2016-09-09 13:51:59","2016-09-09 13:49:30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JGN2NAR5","journalArticle","2014","Narbutis, D.; Semionov, D.; Stonkutė, R.; de Meulenaer, P.; Mineikis, T.; Bridžius, A.; Vansevičius, V.","Deriving structural parameters of semi-resolved star clusters. FitClust: a program for crowded fields","Astronomy & Astrophysics","","0004-6361, 1432-0746","10.1051/0004-6361/201322577","http://arxiv.org/abs/1410.2514","Context. An automatic tool to derive structural parameters of semi-resolved star clusters located in crowded stellar fields in nearby galaxies is needed for homogeneous processing of archival frames. Aims. We have developed a program that automatically derives the structural parameters of star clusters and estimates errors by accounting for individual stars and variable sky background. Methods. Models of observed frames consist of the cluster's surface brightness distribution, convolved with a point spread function; the stars, represented by the same point spread function; and a smoothly variable sky background. The cluster's model is fitted within a large radius by using the Levenberg-Marquardt and Markov chain Monte Carlo algorithms to derive structural parameters, the flux of the cluster, and individual fluxes of all well-resolved stars. Results. FitClust, a program to derive structural parameters of semi-resolved clusters in crowded stellar fields, was developed and is available for free use. The program was tested on simulated cluster frames, and was used to measure clusters of the M31 galaxy in Subaru Suprime-Cam frames. Conclusions. Accounting for bright resolved stars and variable sky background significantly improves the accuracy of derived structural parameters of star clusters. However, their uncertainty remains dominated by the stochastic noise of unresolved stars.","2014-09","2015-06-08 18:57:05","2016-08-15 14:02:11","2015-06-08 18:57:05","A30","","","569","","","Deriving structural parameters of semi-resolved star clusters. FitClust","","","","","","","","","","","","arXiv.org","","","","/home/gabriel/Dropbox/apps_sync/Zot/2014/Narbutis et al. - 2014 - Deriving structural parameters of semi-resolved star clusters.pdf","","","Astrophysics - Astrophysics of Galaxies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65PKXH29","journalArticle","2015","Saha, Snehanshu; Agrawal, Surbhi; R, Manikandan; Bora, Kakoli; Routh, Swati; Narasimhamurthy, Anand","ASTROMLSKIT: A New Statistical Machine Learning Toolkit: A Platform for Data Analytics in Astronomy","arXiv:1504.07865 [astro-ph]","","","","http://arxiv.org/abs/1504.07865","Astroinformatics is a new impact area in the world of astronomy, occasionally called the final frontier, where several astrophysicists, statisticians and computer scientists work together to tackle various data intensive astronomical problems. Exponential growth in the data volume and increased complexity of the data augments difficult questions to the existing challenges. Classical problems in Astronomy are compounded by accumulation of astronomical volume of complex data, rendering the task of classification and interpretation incredibly laborious. The presence of noise in the data makes analysis and interpretation even more arduous. Machine learning algorithms and data analytic techniques provide the right platform for the challenges posed by these problems. A diverse range of open problem like star-galaxy separation, detection and classification of exoplanets, classification of supernovae is discussed. The focus of the paper is the applicability and efficacy of various machine learning algorithms like K Nearest Neighbor (KNN), random forest (RF), decision tree (DT), Support Vector Machine (SVM), Na\""ive Bayes and Linear Discriminant Analysis (LDA) in analysis and inference of the decision theoretic problems in Astronomy. The machine learning algorithms, integrated into ASTROMLSKIT, a toolkit developed in the course of the work, have been used to analyze HabCat data and supernovae data. Accuracy has been found to be appreciably good.","2015-04-29","2015-04-30 22:36:21","2016-11-11 12:57:08","2015-04-30 22:36:21","","","","","","","ASTROMLSKIT","","","","","","","","","","","","arXiv.org","","","","/home/gabriel/Dropbox/apps_sync/Zot/2015/Saha et al. - 2015 - ASTROMLSKIT.pdf","","","Astrophysics - Instrumentation and Methods for Astrophysics; Computer Science - Learning; Computer Science - Computational Engineering, Finance, and Science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BZ9MNXCN","journalArticle","2015","Corsaro, Enrico; De Ridder, Joris","DIAMONDS: A new Bayesian nested sampling tool","arXiv:1509.08311 [astro-ph]","","","","http://arxiv.org/abs/1509.08311","In the context of high-quality asteroseismic data provided by the NASA Kepler mission, we developed a new code, termed Diamonds (high-DImensional And multi-MOdal NesteD Sampling), for fast Bayesian parameter estimation and model comparison by means of the Nested Sampling Monte Carlo (NSMC) algorithm, an efficient and powerful method very suitable for high-dimensional problems (like the peak bagging analysis of solar-like oscillations) and multi-modal problems (i.e. problems that show multiple solutions). We applied the code to the peak bagging analysis of solar-like oscillations observed in a challenging F-type star. By means of Diamonds one is able to detect the different backgrounds in the power spectrum of the star (e.g. stellar granulation and faculae activity) and to understand whether one or two oscillation peaks can be identified or not. In addition, we demonstrate a novel approach to peak bagging based on multimodality, which is able to reduce significantly the number of free parameters involved in the peak bagging model. This novel approach is therefore of great interest for possible future automatization of the entire analysis technique.","2015-06-18","2015-09-29 13:08:56","2016-11-11 12:57:06","2015-09-29 13:08:56","","","","","","","DIAMONDS","","","","","","","","","","","","arXiv.org","","","","/home/gabriel/Dropbox/apps_sync/Zot/2015/Corsaro y De Ridder - 2015 - DIAMONDS.pdf","","","Astrophysics - Solar and Stellar Astrophysics; Astrophysics - Instrumentation and Methods for Astrophysics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XTTUMVDE","journalArticle","2015","Moolekamp, Fred; Mamajek, Eric","Toyz: A Framework for Scientific Analysis of Large Datasets and Astronomical Images","arXiv:1506.08930 [astro-ph]","","","","http://arxiv.org/abs/1506.08930","As the size of images and data products derived from astronomical data continues to increase, new tools are needed to visualize and interact with that data in a meaningful way. Motivated by our own astronomical images taken with the Dark Energy Camera (DECam) we present Toyz, an open source Python package for viewing and analyzing images and data stored on a remote server or cluster. Users connect to the Toyz web application via a web browser, making it an convenient tool for students to visualize and interact with astronomical data without having to install any software on their local machines. In addition it provides researchers with an easy-to-use tool that allows them to browse the files on a server and quickly view very large images ($>$ 2 Gb) taken with DECam and other cameras with a large FOV and create their own visualization tools that can be added on as extensions to the default Toyz framework.","2015-06-30","2015-07-01 16:44:15","2016-11-11 12:57:04","2015-07-01 16:44:15","","","","","","","Toyz","","","","","","","","","","","","arXiv.org","","","","/home/gabriel/Dropbox/apps_sync/Zot/2015/Moolekamp y Mamajek - 2015 - Toyz.pdf","","","Astrophysics - Instrumentation and Methods for Astrophysics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DVH7WRDR","journalArticle","2015","Dakin, Jeppe","CONCEPT - The COsmological $N$-body CodE in PyThon","arXiv:1510.07621 [astro-ph]","","","","http://arxiv.org/abs/1510.07621","CO$N$CEPT (COsmological $N$-body CodE in PyThon) is a free and open-source code for cosmological $N$-body simulations on massively parallel computers with distributed memory. Collisionless dark matter is the only implemented particle species. Gravity can be computed using the PP, PM or the P$^{3}$M algorithm. The goal of CO$N$CEPT is to make it pleasant to work with cosmological $N$-body simulations - for the cosmologist as well as for the source code developer. This is the user guide. The source code and additional documentation can be found at https://github.com/jmd-dk/concept/","2015-10-26","2015-10-29 12:12:41","2016-11-11 12:57:02","2015-10-29 12:12:41","","","","","","","","","","","","","","","","","","","arXiv.org","","","","/home/gabriel/Dropbox/apps_sync/Zot/2015/Dakin - 2015 - CONCEPT - The COsmological $N$-body CodE in PyThon.pdf","","","Astrophysics - Instrumentation and Methods for Astrophysics; Astrophysics - Cosmology and Nongalactic Astrophysics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AT67PNJW","journalArticle","2016","Asa'd, Randa S.; Vazdekis, Alexandre; Zeinelabdin, Sami","Ages of LMC Star Clusters using ASAD$_2$","arXiv:1601.07669 [astro-ph]","","","","http://arxiv.org/abs/1601.07669","We use ASAD$_2$, the new version of ASAD (Analyzer of Spectra for Age Determination), to obtain the age and reddening of 27 LMC clusters from full fitting of integrated spectra using different statistical methods ($\chi^{2}$ and K-S test) and a set of stellar population models including GALAXEV and MILES. We show that our results are in good agreement with the CMD ages for both models, and that metallicity does not affect the age determination for the full spectrum fitting method regardless of the model used for ages with log (age/year) $<$ 9. We discuss the results obtained by the two statistical results for both GALAXEV and MILES versus three factors: age, S/N and resolution (FWHM). The predicted reddening values when using the $\chi^{2}$ minimization method are within the range found in the literature for resolved clusters (i.e: $<$ 0.35), however the K-S test can predict E(B$-$V) higher values. The sharp spectrum transition originated at ages around the supergiants contribution, at either side of the AGB peak around log (age/year) 9.0 and log (age/year) 7.8 are limiting our ability to provide values in agreement with the CMD estimates and as a result the reddening determination is not accurate. We provide the detailed results of four clusters spanning a wide range of ages. ASAD$_2$ is a user-friendly program available for download on the Web and can be immediately used at $http://randaasad.wordpress.com/asad-package/$.","2016-01-28","2016-01-30 02:22:31","2016-11-11 12:56:59","2016-01-30 02:22:31","","","","","","","","","","","","","","","","","","","arXiv.org","","","","/home/gabriel/Dropbox/apps_sync/Zot/2016/Asa'd et al. - 2016 - Ages of LMC Star Clusters using ASAD$_2$.pdf","","","Astrophysics - Astrophysics of Galaxies; Astrophysics - Solar and Stellar Astrophysics; Astrophysics - Instrumentation and Methods for Astrophysics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9GGFKQQ2","journalArticle","2016","Naiman, J. P.","AstroBlend: An Astrophysical Visualization Package for Blender","arXiv:1602.03178 [astro-ph]","","","","http://arxiv.org/abs/1602.03178","The rapid growth in scale and complexity of both computational and observational astrophysics over the past decade necessitates efficient and intuitive methods for examining and visualizing large datasets. Here, I present {\it AstroBlend}, an open-source Python library for use within the three dimensional modeling software, {\it Blender}. While {\it Blender} has been a popular open-source software among animators and visual effects artists, in recent years it has also become a tool for visualizing astrophysical datasets. {\it AstroBlend} combines the three dimensional capabilities of {\it Blender} with the analysis tools of the widely used astrophysical toolset, {\it yt}, to afford both computational and observational astrophysicists the ability to simultaneously analyze their data and create informative and appealing visualizations. The introduction of this package includes a description of features, work flow, and various example visualizations. A website - www.astroblend.com - has been developed which includes tutorials, and a gallery of example images and movies, along with links to downloadable data, three dimensional artistic models, and various other resources.","2016-02-09","2016-02-11 18:14:56","2016-11-11 12:56:58","2016-02-11 18:14:56","","","","","","","AstroBlend","","","","","","","","","","","","arXiv.org","","","","/home/gabriel/Dropbox/apps_sync/Zot/2016/Naiman - 2016 - AstroBlend.pdf","","","Astrophysics - Instrumentation and Methods for Astrophysics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HUAUXW7C","journalArticle","2016","Berry, David; Warren-Smith, Rodney; Jenness, Tim","AST: A library for modelling and manipulating coordinate systems","Astronomy and Computing","","22131337","10.1016/j.ascom.2016.02.003","http://arxiv.org/abs/1602.06681","In view of increased interest in object-oriented systems for describing coordinate information, we present a description of the data model used by the Starlink AST library. AST provides a comprehensive range of facilities for attaching world co-ordinate systems to astronomical data, and for retrieving and interpreting that information in a variety of formats, including FITS-WCS. AST is a mature system that has been in use for more than 17 years, and may consequently be useful as a means of informing development of similar systems in the future.","2016-03","2016-03-04 14:31:06","2016-11-11 12:56:56","2016-03-04 14:31:06","","","","","","","AST","","","","","","","","","","","","arXiv.org","","","","/home/gabriel/Dropbox/apps_sync/Zot/2016/Berry et al. - 2016 - AST.pdf","","","Astrophysics - Instrumentation and Methods for Astrophysics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
